property_id,property_name,category,city
16558,ITC Grands,Luxury,Delhi
16559,ITC Exotica,Luxury,Agra
16560,ITC City,Business,Delhi
16561,ITC Blu,Luxury,Delhi
16562,ITC Bay,Luxury,Delhi
16563,ITC Palace,Business,Delhi
17558,ITC Grands,Luxury,Mumbai
17559,ITC Exotica,Luxury,Mumbai
17560,ITC City,Business,Mumbai
17561,ITC Blu,Luxury,Agra
17562,ITC Bay,Luxury,Mumbai
17563,ITC Palace,Business,Mumbai
18558,ITC Grands,Luxury,Hyderabad
18559,ITC Exotica,Luxury,Hyderabad
18560,ITC City,Business,Hyderabad
18561,ITC Blu,Luxury,Goa
18562,ITC Bay,Luxury,Goa
18563,ITC Palace,Business,Hyderabad
19558,ITC Grands,Luxury,Bangalore
19559,ITC Exotica,Luxury,Bangalore
19560,ITC City,Business,Pune
19561,ITC Blu,Luxury,Pune
19562,ITC Bay,Luxury,Bangalore
19563,ITC Palace,Business,Bangalore
17564,ITC Seasons,Business,Mumbai
